0.021931	0.098704	0.15029	0.61322	0.85123	1.2651	2.5648	2.5989	3.674	4.7633
0.0007284	0.0051823	0.011616	0.019655	0.03262	0.056749	0.11198	0.11809	0.18436	0.24077
0.73155	1.3008	4.5035	6.1987	6.9203	10.273	13.64	17.291	22.209	26.308
0.040641	0.054198	0.23703	0.26701	0.41325	0.52617	0.60386	0.61962	0.98862	1.1723
0.015385	0.083246	0.15667	0.27335	0.34062	1.0172	1.4642	2.4218	3.4638	4.2278
0.0011125	0.0030771	0.0050089	0.010917	0.017928	0.047498	0.050863	0.1084	0.1823	0.25477
16.571	45.202	129.88	208.46	286.72	997.95	1205	1337.2	1517.1	2179.3
0.82855	2.132	7.5746	18.951	26.976	28.513	35.959	40.458	64.097	70.782
0.32548	0.34969	0.91499	1.431	1.4525	2.2891	2.8595	4.0859	6.7102	6.901
0.018082	0.026912	0.034521	0.04539	0.062699	0.12048	0.15183	0.19508	0.28273	0.35317
106.77	334.07	1008.7	1055.4	1528.4	3891.8	4697.6	6843.4	8239.3	11984
3.8131	18.704	32.531	80.441	134.2	152.82	201.73	247.24	338.15	456.23
63.248	159.43	866.69	903.93	1083	1872.3	4895.1	5708.1	6755	11450
3.1624	8.8571	32.283	45.125	104.02	138.94	148.46	206.23	336.77	979.02
1155.6	2460.1	3977.5	4752.6	5844.7	7127.7	9679.9	13526	36268	46545
32.613	131.68	142.05	241.24	375.14	444.89	751.43	917.65	1173.4	1738.2
